We are writingRTC is not running
Initialized
Temp: 26.48, Pressure:101009.92, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469328,Longitude:-736939676,Altitude(GPS,m):15,Time:15:56:24

Temp: 26.48, Pressure:101009.92, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469334,Longitude:-736939674,Altitude(GPS,m):15,Time:15:56:26

Temp: 26.48, Pressure:101010.09, Altitude(BMP,m):126.63,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469337,Longitude:-736939669,Altitude(GPS,m):15,Time:15:56:28

Temp: 26.49, Pressure:101010.35, Altitude(BMP,m):126.61,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469352,Longitude:-736939668,Altitude(GPS,m):15,Time:15:56:30

Temp: 26.49, Pressure:101010.69, Altitude(BMP,m):126.58,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469359,Longitude:-736939669,Altitude(GPS,m):15,Time:15:56:32

Temp: 26.48, Pressure:101010.42, Altitude(BMP,m):126.60,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469365,Longitude:-736939669,Altitude(GPS,m):15,Time:15:56:34

Temp: 26.48, Pressure:101010.09, Altitude(BMP,m):126.63,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469373,Longitude:-736939677,Altitude(GPS,m):15,Time:15:56:36

Temp: 26.48, Pressure:101009.09, Altitude(BMP,m):126.71,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469372,Longitude:-736939684,Altitude(GPS,m):15,Time:15:56:38

Temp: 26.48, Pressure:101008.09, Altitude(BMP,m):126.80,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469376,Longitude:-736939693,Altitude(GPS,m):15,Time:15:56:40

Temp: 26.49, Pressure:101007.03, Altitude(BMP,m):126.88,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469384,Longitude:-736939697,Altitude(GPS,m):15,Time:15:56:42

Temp: 26.49, Pressure:101005.20, Altitude(BMP,m):127.04,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469378,Longitude:-736939691,Altitude(GPS,m):15,Time:15:56:44

